name,brand,description,image_url
NaturBoard TIMBER,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardTIMBER.webp
NaturBoard TIMBER COMFORT,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardTIMBERCOMFORT.webp
NaturBoard TPT,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardTPT.webp
NaturBoard WALLS,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardWALLS.webp
SmartRoof All-Fix THERMAL,Knauf,Pannello rigido isolante in lana minerale di roccia rivestito su un lato con velo vetro rinforzato,/images/knauf_prodotti/SmartRoofAll-FixTHERMAL.webp
SmartRoof BASE,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartRoofBASE.webp
SmartRoof PRO,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartRoofPRO.webp
SmartRoof THERMAL,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartRoofTHERMAL.webp
SmartRoof TOP,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartRoofTOP.webp
SmartRoof ULTRA,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartRoofULTRA.webp
SmartWall FKD S THERMAL,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartWallFKDSTHERMAL.webp
SUPAFIL LOFT 045,Knauf,Lana minerale di vetro per insufflaggio,/images/knauf_prodotti/SUPAFILLOFT045.webp
SUPAFIL MULTI,Knauf,Lana minerale di vetro per insufflaggio,/images/knauf_prodotti/SUPAFILMULTI.webp
"Aquapanel Indoor 12,5 mm",Knauf,"Lastra in cemento fibrorinforzato per interni, ideale per ambienti umidi e bagnati",/images/knauf_prodotti/AquapanelIndoor125mm.webp
"Aquapanel Rooftop 12,5 mm",Knauf,"Lastra in cemento fibrorinforzato, ideale per coperture a bassa pendenza.",/images/knauf_prodotti/AquapanelRooftop125mm.webp
Aquapanel Rooftop 6 mm,Knauf,"Lastra in cemento fibrorinforzato, ideale per coperture a bassa pendenza.",/images/knauf_prodotti/AquapanelRooftop6mm.webp
Aquapanel Skylite 8 mm,Knauf,"Lastra in cemento fibrorinforzato per soffitti, per applicazioni in interni ed esterni",/images/knauf_prodotti/AquapanelSkylite8mm.webp
Danoline Globe G1 Belgravia (E15),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineGlobeG1BelgraviaE15.webp
Danoline Globe G1 Belgravia (E24),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineGlobeG1BelgraviaE24.webp
Danoline Globe G1 Contur (D),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T nascosta,/images/knauf_prodotti/DanolineGlobeG1ConturD.webp
Danoline Globe G1 Corridor,Knauf,Pannello in gesso rivestito per controsoffitto modulare autoportante,/images/knauf_prodotti/DanolineGlobeG1Corridor.webp
Danoline Globe G1 Plaza (A),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T a vista,/images/knauf_prodotti/DanolineGlobeG1PlazaA.webp
Danoline Micro M1 Belgravia (E15),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineMicroM1BelgraviaE15.webp
Danoline Micro M1 Belgravia (E24),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineMicroM1BelgraviaE24.webp
Danoline Micro M1 Contur (D),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T nascosta,/images/knauf_prodotti/DanolineMicroM1ConturD.webp
Danoline Micro M1 Corridor,Knauf,Pannello in gesso rivestito per controsoffitto modulare autoportante,/images/knauf_prodotti/DanolineMicroM1Corridor.webp
Danoline Micro M1 Plaza (A),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T a vista,/images/knauf_prodotti/DanolineMicroM1PlazaA.webp
Danoline Quadril Q1 Belgravia (E15),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineQuadrilQ1BelgraviaE15.webp
Danoline Quadril Q1 Belgravia (E24),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineQuadrilQ1BelgraviaE24.webp
Danoline Quadril Q1 Contur (D),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T nascosta,/images/knauf_prodotti/DanolineQuadrilQ1ConturD.webp
Danoline Quadril Q1 Corridor,Knauf,Pannello in gesso rivestito per controsoffitto modulare autoportante,/images/knauf_prodotti/DanolineQuadrilQ1Corridor.webp
Danoline Quadril Q1 Plaza (A),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T a vista,/images/knauf_prodotti/DanolineQuadrilQ1PlazaA.webp
Danoline Regula R Belgravia (E15),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineRegulaRBelgraviaE15.webp
Danoline Regula R Belgravia (E24),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineRegulaRBelgraviaE24.webp
Danoline Regula R Contur (D),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T nascosta,/images/knauf_prodotti/DanolineRegulaRConturD.webp
Danoline Regula R Corridor,Knauf,Pannello in gesso rivestito per controsoffitto modulare autoportante,/images/knauf_prodotti/DanolineRegulaRCorridor.webp
Danoline Regula R Plaza (A),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T a vista,/images/knauf_prodotti/DanolineRegulaRPlazaA.webp
Danoline Tangent T1 Belgravia (E15),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineTangentT1BelgraviaE15.webp
Danoline Tangent T1 Belgravia (E24),Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T semi-nascosta,/images/knauf_prodotti/DanolineTangentT1BelgraviaE24.webp
