name,name,descrizione,image_url
ELLADE D31,ELLADE D31,CONSOLLE 93cm MONOFORO/3 FORI,/images/hidra_prodotti/ELLADED31.webp
MY M15,MY M15,LAVABO SU COLONNA/SEMICOLONNA,/images/hidra_prodotti/MYM15.webp
SPHERE SP17,SPHERE SP17,LAVABO TONDO DA APPOGGIO 44cm,/images/hidra_prodotti/SPHERESP17.webp
SPHERE SP22,SPHERE SP22,LAVABO TONDO DA APPOGGIO 44cm,/images/hidra_prodotti/SPHERESP22.webp
ONE SHOT MI15,ONE SHOT MI15,FREESTANDIG MISS,/images/hidra_prodotti/ONESHOTMI15.webp
ONE SHOT W1,ONE SHOT W1,Wire 43,/images/hidra_prodotti/ONESHOTW1.webp
ONE SHOT TA19,ONE SHOT TA19,LAVABO TONDO DA APPOGGIO,/images/hidra_prodotti/ONESHOTTA19.webp
ONE SHOT TA20,ONE SHOT TA20,LAVABO OVALE DA APPOGGIO,/images/hidra_prodotti/ONESHOTTA20.webp
ONE SHOT A109,ONE SHOT A109,LAVABO SOTTOPIANO,/images/hidra_prodotti/ONESHOTA109.webp
ONE SHOT A104,ONE SHOT A104,LAVABO SOTTOPIANO,/images/hidra_prodotti/ONESHOTA104.webp
ONE SHOT A118,ONE SHOT A118,LAVABO SOTTOPIANO,/images/hidra_prodotti/ONESHOTA118.webp
ONE SHOT A110,ONE SHOT A110,LAVABO INCASSO,/images/hidra_prodotti/ONESHOTA110.webp
KOMFORT KMCOM,KOMFORT KMCOM,MODULO FREESTANDING IN CERAMICA,/images/hidra_prodotti/KOMFORTKMCOM.webp
ONE SHOT MI15,ONE SHOT MI15,FREESTANDIG MISS,/images/hidra_prodotti/ONESHOTMI15.webp
ONE SHOT W3,ONE SHOT W3,STRUTTURA METALLICA PER LAVABO WIRE,/images/hidra_prodotti/ONESHOTW3.webp
ONE SHOT HU3+HUP,ONE SHOT HU3+HUP,STRUTTURA METALLICA CON PIANO PER LAVABO,/images/hidra_prodotti/ONESHOTHU3HUP.webp
KOMFORT KMPS,KOMFORT KMPS,PIANO SLIM PER LAVABI,/images/hidra_prodotti/KOMFORTKMPS.webp
KIUB KSG50,KIUB KSG50,KSG50 STRUTTURA 50 + COMPOSIZIONE GRIGLIA / sospesa o a terra,/images/hidra_prodotti/KIUBKSG50.webp
