name,brand,descrizione,categoria,image_url
Smerigliatrice da banco 250W,ryobi,Motore ad induzione 250W Base in alluminio che riduce le vibrazioni e migliora la stabilità,elettroutensili,/images/ryobi_prodotti/Smerigliatricedabanco250W.webp
DAB+ Radio con Bluetooth® 18V,ryobi,"Lo speaker della DAB+ Radio con Bluetooth® 18V ha una potenza di 10W, il suono risulta chiaro e premium Il Bluetooth® permette di riprodurre i contenuti che vuoi fino a 25 metri di distanza Le stazioni radio DAB , AM e FM possono essere sintonizzate e memorizzate manualmente utilizzando i pulsanti presenti sotto al display",elettroutensili,/images/ryobi_prodotti/DABRadioconBluetooth18V.webp
Utensile rotativo compatto 18V,ryobi,"Potente utensile rotativo a batteria per levigare, lucidare, incidere, tagliare e molto altro Design sottile a penna e controllo della velocità variabile forniscono un controllo accurato e possibilità di utilizzo su molteplici materiali Lungo cavo flessibile per utilizzare l'utensile con comodità",elettroutensili,/images/ryobi_prodotti/Utensilerotativocompatto18V.webp
RSD18-0,ryobi, ,elettroutensili,/images/ryobi_prodotti/RSD18-0.webp
Smerigliatrice e levigatrice da banco 250W,ryobi, ,elettroutensili,/images/ryobi_prodotti/Smerigliatriceelevigatricedabanco250W.webp
Mini-speaker Bluetooth 18V,ryobi,"Super compatto e leggero, per la massima portabilità Potenza speaker 5W Tecnologia Bluetooth integrata per un segnale fino a 25 metri Indicatore di connessione LED",elettroutensili,/images/ryobi_prodotti/Mini-speakerBluetooth18V.webp
Utensile rotativo 18V,ryobi,"Potente utensile rotativo a batteria per levigare, lucidare, incidere, tagliare e molto altro Design sottile a penna e controllo della velocità variabile (5000 - 35000 g/min) forniscono un controllo accurato e possibilità di utilizzo su molteplici materiali Attacco universale 3.2 mm (per utilizzare anche altri accessori presenti sul mercato), con cambio rapido dell'accessorio",elettroutensili,/images/ryobi_prodotti/Utensilerotativo18V.webp
Seghetto Alternativo Pendolare 18V,ryobi,Corsa della lama di 25mm Variatore elettronico di velocità ad una mano per il massimo controllo Velocità a vuoto: 3000 corse/min per ottime performance di taglio Sistema di fissaggio automatico della lama senza l'ausilio di utensili,elettroutensili,/images/ryobi_prodotti/SeghettoAlternativoPendolare18V.webp
Speaker Bluetooth 18V,ryobi,"2 speaker da 10W l'uno, per un suono chiaro e nitido Ultima tecnologia bluetooth per condividere audio fino a 25 metri di distanza Tecnologia in grado di migliorare il suono in uscita Porta USB per ricaricare dispositivi elettronici (smartphone, ipad, ...)",elettroutensili,/images/ryobi_prodotti/SpeakerBluetooth18V.webp
Utensile rotativo 12V,ryobi,"Ideale per molteplici lavorazioni: foratura, taglio, levigatura, lucidatura, incisione, ... Velocità variabile da 5.000 a 35.000 g/min, per il miglior controllo durante l'applicazione Attacco 3.2 mm, con cambio accessorio semplice e rapido, senza necessità di chiave",elettroutensili,/images/ryobi_prodotti/Utensilerotativo12V.webp
