name,brand,description,product_page_url,image_url
SPAZZOLE A DISCO,maurer,gambo: Ø 6 mm fili abrasivi nylon: Grana 80,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0906/desc/,/images/maurer_prodotti/SPAZZOLEADISCO.webp
SPAZZOLA A PENNELLO,maurer,gambo: Ø 6 mm fili abrasivi nylon: Grana 80,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0907/desc/,/images/maurer_prodotti/SPAZZOLAAPENNELLO.webp
SPAZZOLE A TAZZA,maurer,gambo: Ø 6 mm fili abrasivi nylon: Grana 80,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0908/desc/,/images/maurer_prodotti/SPAZZOLEATAZZA.webp
SPAZZOLA A RULLO,maurer,gambo: Ø 6 mm fili abrasivi nylon: Grana 80,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0909/desc/,/images/maurer_prodotti/SPAZZOLAARULLO.webp
SPAZZOLE CONICHE,maurer,"spessore filo acciaio ondulato: 0,3 mm",https://maurer.ferritalia.it/dettaglio-prodotto/modello/0889/desc/,/images/maurer_prodotti/SPAZZOLECONICHE.webp
SPAZZOLE A PENNELLO,maurer,"gambo: Ø 6 mm spessore filo acciaio ondulato: 0,3 mm",https://maurer.ferritalia.it/dettaglio-prodotto/modello/0893/desc/,/images/maurer_prodotti/SPAZZOLEAPENNELLO.webp
SPAZZOLE ACCIAIO IN SET,maurer,gambo: Ø 6 mm,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0896/desc/,/images/maurer_prodotti/SPAZZOLEACCIAIOINSET.webp
RUOTE LAMELLARI CORINDONE,maurer,gambo: Ø 6 mm,https://maurer.ferritalia.it/dettaglio-prodotto/modello/1422/desc/,/images/maurer_prodotti/RUOTELAMELLARICORINDONE.webp
MOLA ABRASIVA TAGLIO - MULTIFUNZIONE,maurer,"taglio acciaio, inox, alluminio, pietra, plastica",https://maurer.ferritalia.it/dettaglio-prodotto/modello/1423/desc/,/images/maurer_prodotti/MOLAABRASIVATAGLIO-MULTIFUNZIONE.webp
"MOLE ABRASIVE - TAGLIO FERRO - Ø FORO 22,23 MM",maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0899/desc/,/images/maurer_prodotti/MOLEABRASIVE-TAGLIOFERRO-ØFORO2223MM.webp
MOLA PER TRONCATRICE - TAGLIO FERRO,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0736/desc/,/images/maurer_prodotti/MOLAPERTRONCATRICE-TAGLIOFERRO.webp
"MOLE ABRASIVE - TAGLIO ACCIAIO INOX - Ø FORO 22,23 MM",maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0900/desc/,/images/maurer_prodotti/MOLEABRASIVE-TAGLIOACCIAIOINOX-ØFORO2223MM.webp
"MOLE ABRASIVE - TAGLIO MARMO - Ø FORO 22,23 MM",maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0901/desc/,/images/maurer_prodotti/MOLEABRASIVE-TAGLIOMARMO-ØFORO2223MM.webp
"MOLE ABRASIVE - LEVIGATURA FERRO - Ø FORO 22,23 MM",maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0897/desc/,/images/maurer_prodotti/MOLEABRASIVE-LEVIGATURAFERRO-ØFORO2223MM.webp
"MOLA ABRASIVA - LEVIGATURA MARMO - Ø FORO 22,23 MM",maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0898/desc/,/images/maurer_prodotti/MOLAABRASIVA-LEVIGATURAMARMO-ØFORO2223MM.webp
