name,brand,description,price,image_url
Webertherm lv034 pannello isolante  10 lastre,Weber,"Pannello isolante in lana di vetro, fonoassorbenti, per sistemi a capotto termico, elevata traspirabilità, ignifugo resistente al fuoco, idonei ai criteri minimi ambientali cam",N/A,/images/weber_prodotti/Weberthermlv034pannelloisolante10lastre.webp
Webertherm ap60 top f collante-rasante grigio sacco kg 25,Weber,"Collante-rasante ad elevate prestazioni, granulometria fine, per pannelli isolanti in polistirolo,lana di roccia,lana di vetro,poliuretano,resina fenolica, conforme a etag 004. fibrato",N/A,/images/weber_prodotti/Weberthermap60topfcollante-rasantegrigiosaccokg25.webp
Webertherm ap60 start f collante-rasante bianco sacco kg 25,Weber,"Collante-rasante in polvere, granulometria fine, per l'incollaggio e la rasatura dei pannelli isolanti in polistirolo, lana di roccia, lana di vetro , conforme a etag 004, fibrato",N/A,/images/weber_prodotti/Weberthermap60startfcollante-rasantebiancosaccokg25.webp
Webertec ripararapido20 malta tixotropica grigio sacco kg 5,Weber,"Malta tixotropica a presa rapida per ripristinare, riparare e proteggere elementi non strutturali in calcestruzzo armato e per rasare la superficie in calcestruzzo ripristinata",N/A,/images/weber_prodotti/Webertecripararapido20maltatixotropicagrigiosaccokg5.webp
Webertec riparapav malta fibrata grigio sacco kg 25,Weber,Malta fibrata a presa rapida per il fissaggio di chiusini stradali e ripristino localizzato pavimentazioni industriali,N/A,/images/weber_prodotti/Webertecriparapavmaltafibratagrigiosaccokg25.webp
Webertec riparapav malta fibrata nero sacco kg 25,Weber,Malta fibrata a presa rapida per il fissaggio di chiusini stradali e ripristino localizzato pavimentazioni industriali. rinforzato con fibre d’acciaio. rapida riapertura al traffico,N/A,/images/weber_prodotti/Webertecriparapavmaltafibratanerosaccokg25.webp
Webertec ripara60+ malta tixotropica grigio sacco kg 25,Weber,"Malta tixotropica r4 a presa normale, ripristina, ripara protegge elementi strutturali in calcestruzzo armato (senza trattamento del ferro) fibrato,alti spessori, antifessurazione",N/A,/images/weber_prodotti/Webertecripara60maltatixotropicagrigiosaccokg25.webp
Webertec ripara60 kg 25 malta tixotropica r4 ripara cls,Weber,"A presa normale per ripristinare, riparare e proteggere elementi in cls armato, ottima lavorabilità anche per applicazioni sopra testa",N/A,/images/weber_prodotti/Webertecripara60kg25maltatixotropicar4riparacls.webp
Webertec rete250/a rete fibra di vetro gialla venduta a mq,Weber,"Reti in fibra di vetro a.r.(contenuto di zirconio > 16%)e apprettate con pva, per consolidamento, antribaltamento, antisfondellamento di solai, abbianata ad un intonaco strutturale",N/A,/images/weber_prodotti/Webertecrete250aretefibradivetrogiallavendutaamq.webp
Webertec rete250 rete fibra di vetro bianco venduta a metro quadro,Weber,"Reti in fibra di vetro a.r. (contenuto di zirconio > 16%) e apprettate con pva,per consolidamento, antribaltamento, antisfondellamento di solai, abbianata ad un intonaco strutturale venduta a mq",N/A,/images/weber_prodotti/Webertecrete250retefibradivetrobiancovendutaametroquadro.webp
Webertec rete ar50 rete fibra di vetro bianco rotolo h. 100 cm venduto a mq,Weber,"Reti in fibra di vetro a.r. e apprettate, idonee per interventi di consolidamento, antribaltamento, antisfondellamento di solai. elemento del sistema webertec frcm, marcato eta",N/A,/images/weber_prodotti/Webertecretear50retefibradivetrobiancorotoloh100cmvendutoamq.webp
