name,marca,descrizione,categoria,image_url
MOVER 270D EVO,IMER,Trasportatore pneumatico per sottofondi tradizionali e premiscelati. Capacità serbatoio 270 l. Motore diesel Stage 5.,Trasportatori per Sottofondi,/images/imer_products/MOVER_270D_EVO.webp
MOVER 190E EVO – 270E,IMER,Trasportatori pneumatici per massetti. Capacità serbatoio 270 l. Versioni monofase e trifase.,Trasportatori per Sottofondi,/images/imer_products/MOVER_190E_EVO_–_270E.webp
BOOSTER 15,IMER,Pompa bicilindrica a pistoni. Motore diesel. Capacità tramoggia: 240 l.,Pompe per Calcestruzzo e Sistemi di Distribuzione,/images/imer_products/BOOSTER_15.webp
BOOSTER 50,IMER,Pompa bicilindrica a pistoni. Motore diesel. Capacità tramoggia: 350 l.,Pompe per Calcestruzzo e Sistemi di Distribuzione,/images/imer_products/BOOSTER_50.webp
GERRIS 800,IMER,Braccio di distribuzione calcestruzzo cingolato. Versione a benzina con motorizzazione elettrica ausiliaria e versione a batterie litio.,Pompe per Calcestruzzo e Sistemi di Distribuzione,/images/imer_products/GERRIS_800.webp
"Attacco a ponteggio per elevatore
",imer,"Attacco a ponteggio per elevatore
",Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Attacco_a_ponteggio_per_elevatore.webp
Attacco a ponteggio per argani serie AP,imer,Attacco a ponteggio per argani serie AP,Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Attacco_a_ponteggio_per_argani_serie_AP.webp
"Puntello regolabile per interni
",imer,"Puntello regolabile per interni
",Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Puntello_regolabile_per_interni.webp
"Kit trasformazione puntello interno-esterno con zavorra
",imer,"Kit trasformazione puntello interno-esterno con zavorra
",Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Kit_trasformazione_puntello_interno-esterno_con_zavorra.webp
"Puntello per finestra
",imer,"Puntello per finestra
",Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Puntello_per_finestra.webp
Maniglia per elevatori serie TR-ET-ETR,imer,Maniglia per elevatori serie TR-ET-ETR,Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Maniglia_per_elevatori_serie_TR-ET-ETR.webp
Kit staffe fissaggio cavalletti 300-500 kg,imer,Kit staffe fissaggio cavalletti 300-500 kg,Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Kit_staffe_fissaggio_cavalletti_300-500_kg.webp
Puntello AIRONE 300 New senza contenitore zavorra,imer,Puntello AIRONE 300 New senza contenitore zavorra,Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Puntello_AIRONE_300_New_senza_contenitore_zavorra.webp
Contenitore zavorra AIRONE 300 New,imer,Contenitore zavorra AIRONE 300 New,Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Contenitore_zavorra_AIRONE_300_New.webp
"Bandiera per puntello da interni
",imer,"Bandiera per puntello da interni
",Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Bandiera_per_puntello_da_interni.webp
"Bandiera per attacco morsetti
",imer,"Bandiera per attacco morsetti
",Accessori Intonacatrici Pompe Pro Tek Line,/images/imer_products/Bandiera_per_attacco_morsetti.webp
"Cavalletto 300 kg
",imer,"Cavalletto 300 kg
",,/images/imer_products/Cavalletto_300_kg.webp
Cavalletto 500 kg,imer,Cavalletto 500 kg,,/images/imer_products/Cavalletto_500_kg.webp
"Carrello con freno per elevatori serie ES-ET-ETR-TR
",imer,"Carrello con freno per elevatori serie ES-ET-ETR-TR
",,/images/imer_products/Carrello_con_freno_per_elevatori_serie_ES-ET-ETR-TR.webp
Carrello con freno TR 225 Beta,imer,Carrello con freno TR 225 Beta,,/images/imer_products/Carrello_con_freno_TR_225_Beta.webp
Carrello con freno TR 225 Europea,imer,Carrello con freno TR 225 Europea,,/images/imer_products/Carrello_con_freno_TR_225_Europea.webp
"Gancio a 3 attacchi portatelai
",imer,"Gancio a 3 attacchi portatelai
",,/images/imer_products/Gancio_a_3_attacchi_portatelai.webp
"Portasecchi 2 posti
",imer,"Portasecchi 2 posti
",,/images/imer_products/Portasecchi_2_posti.webp
"Portasecchi 4 posti
",imer,"Portasecchi 4 posti
",,/images/imer_products/Portasecchi_4_posti.webp
"Benna trapezoidale L 45
",imer,"Benna trapezoidale L 45
",,/images/imer_products/Benna_trapezoidale_L_45.webp
"Benna trapezoidale L 90
",imer,"Benna trapezoidale L 90
",,/images/imer_products/Benna_trapezoidale_L_90.webp
"Benna trapezoidale L 120
",imer,"Benna trapezoidale L 120
",,/images/imer_products/Benna_trapezoidale_L_120.webp
"Morsetti per attacco a palo portata 200 kg
",imer,"Morsetti per attacco a palo portata 200 kg
",,/images/imer_products/Morsetti_per_attacco_a_palo_portata_200_kg.webp
Disco Ø 200 mm PREMIUM per gres porcellanato - corona continua,imer,Disco Ø 200 mm PREMIUM per gres porcellanato - corona continua,,/images/imer_products/Disco_Ø_200_mm_PREMIUM_per_gres_porcellanato_-_corona_continua.webp
Disco Ø 250 mm PREMIUM per gres porcellanato - corona continua,imer,Disco Ø 250 mm PREMIUM per gres porcellanato - corona continua,,/images/imer_products/Disco_Ø_250_mm_PREMIUM_per_gres_porcellanato_-_corona_continua.webp
Disco Ø 350 mm PREMIUM per gres porcellanato - corona continua,imer,Disco Ø 350 mm PREMIUM per gres porcellanato - corona continua,,/images/imer_products/Disco_Ø_350_mm_PREMIUM_per_gres_porcellanato_-_corona_continua.webp
Disco Ø 250 mm FLEX per mattoni / laterizi / cemento - settori - s. laser,imer,Disco Ø 250 mm FLEX per mattoni / laterizi / cemento - settori - s. laser,,/images/imer_products/Disco_Ø_250_mm_FLEX_per_mattoni___laterizi___cemento_-_settori_-_s._laser.webp
Disco Ø 250 mm PREMIUM per granito / pietra - settori - s. laser,imer,Disco Ø 250 mm PREMIUM per granito / pietra - settori - s. laser,,/images/imer_products/Disco_Ø_250_mm_PREMIUM_per_granito___pietra_-_settori_-_s._laser.webp
Disco Ø 350 mm PREMIUM per granito /pietra - a settori - s. laser,imer,Disco Ø 350 mm PREMIUM per granito /pietra - a settori - s. laser,,/images/imer_products/Disco_Ø_350_mm_PREMIUM_per_granito__pietra_-_a_settori_-_s._laser.webp
Disco Ø 500 mm PREMIUM per granito/pietra/cemento - a settori,imer,Disco Ø 500 mm PREMIUM per granito/pietra/cemento - a settori,,/images/imer_products/Disco_Ø_500_mm_PREMIUM_per_granito_pietra_cemento_-_a_settori.webp
Disco Ø 200 mm FLEX per ceramica - corona continua,imer,Disco Ø 200 mm FLEX per ceramica - corona continua,,/images/imer_products/Disco_Ø_200_mm_FLEX_per_ceramica_-_corona_continua.webp
Disco Ø 250 mm FLEX per ceramica - corona continua,imer,Disco Ø 250 mm FLEX per ceramica - corona continua,,/images/imer_products/Disco_Ø_250_mm_FLEX_per_ceramica_-_corona_continua.webp
Disco Ø 350 mm FLEX per ceramica - corona continua,imer,Disco Ø 350 mm FLEX per ceramica - corona continua,,/images/imer_products/Disco_Ø_350_mm_FLEX_per_ceramica_-_corona_continua.webp
Disco Ø 350 mm FLEX per mattoni / laterizi / cemento - settori,imer,Disco Ø 350 mm FLEX per mattoni / laterizi / cemento - settori,,/images/imer_products/Disco_Ø_350_mm_FLEX_per_mattoni___laterizi___cemento_-_settori.webp
Disco Ø 400 mm PREMIUM per granito/pietra - settori,imer,Disco Ø 400 mm PREMIUM per granito/pietra - settori,,/images/imer_products/Disco_Ø_400_mm_PREMIUM_per_granito_pietra_-_settori.webp
Disco Ø 750 mm PREMIUM per laterizi / cemento - a settori,imer,Disco Ø 750 mm PREMIUM per laterizi / cemento - a settori,,/images/imer_products/Disco_Ø_750_mm_PREMIUM_per_laterizi___cemento_-_a_settori.webp
Disco Ø 600 mm PREMIUM per laterizi / cemento - a settori,imer,Disco Ø 600 mm PREMIUM per laterizi / cemento - a settori,,/images/imer_products/Disco_Ø_600_mm_PREMIUM_per_laterizi___cemento_-_a_settori.webp
Disco Ø 700 mm PREMIUM per laterizi / cemento - a settori,imer,Disco Ø 700 mm PREMIUM per laterizi / cemento - a settori,,/images/imer_products/Disco_Ø_700_mm_PREMIUM_per_laterizi___cemento_-_a_settori.webp
Disco Ø 750 mm PREMIUM per Poroton / pietra - a settori,imer,Disco Ø 750 mm PREMIUM per Poroton / pietra - a settori,,/images/imer_products/Disco_Ø_750_mm_PREMIUM_per_Poroton___pietra_-_a_settori.webp
Statore D 6-3,imer,Statore D 6-3,,/images/imer_products/Statore_D_6-3.webp
Rotore D 6-3,imer,Rotore D 6-3,,/images/imer_products/Rotore_D_6-3.webp
Rotore D 6-3 FLEX,imer,Rotore D 6-3 FLEX,,/images/imer_products/Rotore_D_6-3_FLEX.webp
Statore D 6-3 NO SPIN con antirotazione,imer,Statore D 6-3 NO SPIN con antirotazione,,/images/imer_products/Statore_D_6-3_NO_SPIN_con_antirotazione.webp
Rotore D 6-3 con perno,imer,Rotore D 6-3 con perno,,/images/imer_products/Rotore_D_6-3_con_perno.webp
Statore D 5-2.5 NO SPIN con antirotazione,imer,Statore D 5-2.5 NO SPIN con antirotazione,,/images/imer_products/Statore_D_5-2.5_NO_SPIN_con_antirotazione.webp
Rotore D 5-2.5 GRIGIO,imer,Rotore D 5-2.5 GRIGIO,,/images/imer_products/Rotore_D_5-2.5_GRIGIO.webp
